Club,Net Spend (€M),UCL Points,League Points,Total Points,Power points
Arsenal,638.5,2,14,16,0.4
Aston Villa,395.22,0,7,7,0.265
AFC Bournemouth,124.17,0,0,0,0
Brentford,90.7,0,1,1,0.1
Brighton & Hove Albion,-85.91,0,3,3,0.173
Burnley,91.84,0,1,1,0.1
Chelsea,780.19,25,17,42,0.648
Crystal Palace,149.19,0,1,1,0.1
Everton,33.82,0,1,1,0.1
Fulham,132.22,0,1,1,0.1
Ipswich Town,15,0,0,0,0
Leicester City,-7.87,0,5,5,0.224
Liverpool,267.75,24,27,51,0.714
Luton Town,25,0,0,0,0
Manchester City,366.95,39,40,79,0.889
Manchester United,699.46,1,18,19,0.436
Newcastle United,479.67,0,7,7,0.265
Nottingham Forest,233.99,0,0,0,0
Southampton,30.17,0,0,0,0
Tottenham Hotspur,537.03,2,12,14,0.374
Alavés,0,0,1,1,0.1
Almería,35.5,0,0,0,0
Athletic Club,0,0,9,9,0.3
Atlético Madrid,-42.65,5,27,32,0.566
Barcelona,122.58,5,28,33,0.574
Cádiz,16.9,0,1,1,0.1
Celta Vigo,-19.44,0,1,1,0.1
CF Villareal,95.77,5,8,13,0.361
Espanyol,-27.2,0,0,0,0
Getafe,15.7,0,2,2,0.141
Girona,-12.9,0,18,18,0.424
Granada,29,0,1,1,0.1
Sevilla,69.3,2,6,8,0.283
Leganés,0,0,0,0,0
Mallorca,22.6,0,1,1,0.1
Osasuna,32.5,0,6,6,0.245
Rayo Vallecano,11.69,0,1,1,0.1
Real Betis,-53.89,0,13,13,0.361
Real Madrid,189.65,51,40,91,0.954
Real Sociedad,-17.36,1,19,20,0.447
Atalanta,-163.68,3,18,21,0.458
Bologna,119.13,0,2,2,0.141
Cagliari,0.81,0,10,10,0.316
Como 1907,20,0,0,0,0
Empoli,-112.2,0,11,11,0.332
Fiorentina,-35.46,0,5,5,0.224
Genoa,10.77,0,3,3,0.173
Hellas Verona,-85.56,0,4,4,0.2
Inter Milan,-7.22,12,30,42,0.648
Juventus,196.91,3,27,30,0.548
Lazio,45.15,1,16,17,0.412
Lecce,25,0,8,8,0.283
Milan,264.83,6,24,30,0.548
Monza,126.52,0,0,0,0
Napoli,156.8,2,20,22,0.469
Parma,134.51,0,0,0,0
Roma,30.84,0,10,10,0.316
Salernitana,49.6,0,4,4,0.2
Sassuolo,-72.44,0,3,3,0.173
Torino,23.42,0,7,7,0.265
FC Heidenheim,-4.75,0,0,0,0
FSV Mainz 05,-35.95,0,4,4,0.2
Bayer 04 Leverkusen,52.81,0,21,21,0.458
Bayern Munich,221.13,33,45,78,0.883
Borussia Dortmund,-30.8,9,22,31,0.557
Borussia Mönchengladbach,30.93,1,13,14,0.374
Eintracht Frankfurt,-108.06,1,7,8,0.283
FC Augsburg,12.4,0,10,10,0.316
FC St. Pauli,10,0,5,5,0.224
FC Union Berlin,28.71,0,11,11,0.332
Holstein Kiel,5,0,1,1,0.1
RB Leipzig,-22.6,8,25,33,0.574
SC Freiburg,-62.58,0,7,7,0.265
TSG Hoffenheim,-129.1,0,5,5,0.224
VfB Stuttgart,-138.79,0,7,7,0.265
VfL Bochum,-13.52,0,7,7,0.265
VfL Wolfsburg,106.25,0,8,8,0.283
Werder Bremen,-38.21,0,5,5,0.224
AJ Auxerre,10,0,2,2,0.141
Angers SCO,-92.53,0,5,5,0.224
AS Monaco,76.18,0,18,18,0.424
AS Saint-Étienne,-92.95,0,2,2,0.141
Brest,13.7,0,17,17,0.412
Clermont Foot,15,0,3,3,0.173
FC Lorient,-28.02,0,7,7,0.265
Le Havre,12,0,2,2,0.141
Lens,-6.56,0,11,11,0.332
Lille,-276.65,1,23,24,0.49
Lyon,-195.89,5,11,16,0.4
Marseille,137.42,0,18,18,0.424
Metz,-42.98,0,6,6,0.245
Montpellier,-60.07,0,2,2,0.141
Nantes,-23.45,0,9,9,0.3
Nice,134.66,0,8,8,0.283
Paris Saint-Germain,453.25,18,45,63,0.794
Reims,-39.4,0,9,9,0.3
Rennes,-22.76,0,18,18,0.424
Strasbourg,1.7,0,7,7,0.265
