Club,League,Net Spend (€M),UCL Points,League Points,Total Points,Power_points
Arsenal,EPL,638.5,2,14,16,0.4
Aston Villa,EPL,395.22,0,7,7,0.265
AFC Bournemouth,EPL,124.17,0,0,0,0
Brentford,EPL,90.7,0,1,1,0.1
Brighton & Hove Albion,EPL,-85.91,0,3,3,0.173
Burnley,EPL,91.84,0,1,1,0.1
Chelsea,EPL,780.19,25,17,42,0.648
Crystal Palace,EPL,149.19,0,1,1,0.1
Everton,EPL,33.82,0,1,1,0.1
Fulham,EPL,132.22,0,1,1,0.1
Ipswich Town,EPL,15,0,0,0,0
Leicester City,EPL,-7.87,0,5,5,0.224
Liverpool,EPL,267.75,24,27,51,0.714
Luton Town,EPL,25,0,0,0,0
Manchester City,EPL,366.95,39,40,79,0.889
Manchester United,EPL,699.46,1,18,19,0.436
Newcastle United,EPL,479.67,0,7,7,0.265
Nottingham Forest,EPL,233.99,0,0,0,0
Southampton,EPL,30.17,0,0,0,0
Tottenham Hotspur,EPL,537.03,2,12,14,0.374
Alavés,La Liga,0,0,1,1,0.1
Almería,La Liga,35.5,0,0,0,0
Athletic Club,La Liga,0,0,9,9,0.3
Atlético Madrid,La Liga,-42.65,5,27,32,0.566
Barcelona,La Liga,122.58,5,28,33,0.574
Cádiz,La Liga,16.9,0,1,1,0.1
Celta Vigo,La Liga,-19.44,0,1,1,0.1
CF Villareal,La Liga,95.77,5,8,13,0.361
Espanyol,La Liga,-27.2,0,0,0,0
Getafe,La Liga,15.7,0,2,2,0.141
Girona,La Liga,-12.9,0,18,18,0.424
Granada,La Liga,29,0,1,1,0.1
Sevilla,La Liga,69.3,2,6,8,0.283
Leganés,La Liga,0,0,0,0,0
Mallorca,La Liga,22.6,0,1,1,0.1
Osasuna,La Liga,32.5,0,6,6,0.245
Rayo Vallecano,La Liga,11.69,0,1,1,0.1
Real Betis,La Liga,-53.89,0,13,13,0.361
Real Madrid,La Liga,189.65,51,40,91,0.954
Real Sociedad,La Liga,-17.36,1,19,20,0.447
Atalanta,Serie A,-163.68,3,18,21,0.458
Bologna,Serie A,119.13,0,2,2,0.141
Cagliari,Serie A,0.81,0,10,10,0.316
Como 1907,Serie A,20,0,0,0,0
Empoli,Serie A,-112.2,0,11,11,0.332
Fiorentina,Serie A,-35.46,0,5,5,0.224
Genoa,Serie A,10.77,0,3,3,0.173
Hellas Verona,Serie A,-85.56,0,4,4,0.2
Inter Milan,Serie A,-7.22,12,30,42,0.648
Juventus,Serie A,196.91,3,27,30,0.548
Lazio,Serie A,45.15,1,16,17,0.412
Lecce,Serie A,25,0,8,8,0.283
Milan,Serie A,264.83,6,24,30,0.548
Monza,Serie A,126.52,0,0,0,0
Napoli,Serie A,156.8,2,20,22,0.469
Parma,Serie A,134.51,0,0,0,0
Roma,Serie A,30.84,0,10,10,0.316
Salernitana,Serie A,49.6,0,4,4,0.2
Sassuolo,Serie A,-72.44,0,3,3,0.173
Torino,Serie A,23.42,0,7,7,0.265
FC Heidenheim,Bundesliga,-4.75,0,0,0,0
FSV Mainz 05,Bundesliga,-35.95,0,4,4,0.2
Bayer 04 Leverkusen,Bundesliga,52.81,0,21,21,0.458
Bayern Munich,Bundesliga,221.13,33,45,78,0.883
Borussia Dortmund,Bundesliga,-30.8,9,22,31,0.557
Borussia Mönchengladbach,Bundesliga,30.93,1,13,14,0.374
Eintracht Frankfurt,Bundesliga,-108.06,1,7,8,0.283
FC Augsburg,Bundesliga,12.4,0,10,10,0.316
FC St. Pauli,Bundesliga,10,0,5,5,0.224
FC Union Berlin,Bundesliga,28.71,0,11,11,0.332
Holstein Kiel,Bundesliga,5,0,1,1,0.1
RB Leipzig,Bundesliga,-22.6,8,25,33,0.574
SC Freiburg,Bundesliga,-62.58,0,7,7,0.265
TSG Hoffenheim,Bundesliga,-129.1,0,5,5,0.224
VfB Stuttgart,Bundesliga,-138.79,0,7,7,0.265
VfL Bochum,Bundesliga,-13.52,0,7,7,0.265
VfL Wolfsburg,Bundesliga,106.25,0,8,8,0.283
Werder Bremen,Bundesliga,-38.21,0,5,5,0.224
AJ Auxerre,Ligue 1,10,0,2,2,0.141
Angers SCO,Ligue 1,-92.53,0,5,5,0.224
AS Monaco,Ligue 1,76.18,0,18,18,0.424
AS Saint-Étienne,Ligue 1,-92.95,0,2,2,0.141
Brest,Ligue 1,13.7,0,17,17,0.412
Clermont Foot,Ligue 1,15,0,3,3,0.173
FC Lorient,Ligue 1,-28.02,0,7,7,0.265
Le Havre,Ligue 1,12,0,2,2,0.141
Lens,Ligue 1,-6.56,0,11,11,0.332
Lille,Ligue 1,-276.65,1,23,24,0.49
Lyon,Ligue 1,-195.89,5,11,16,0.4
Marseille,Ligue 1,137.42,0,18,18,0.424
Metz,Ligue 1,-42.98,0,6,6,0.245
Montpellier,Ligue 1,-60.07,0,2,2,0.141
Nantes,Ligue 1,-23.45,0,9,9,0.3
Nice,Ligue 1,134.66,0,8,8,0.283
Paris Saint-Germain,Ligue 1,453.25,18,45,63,0.794
Reims,Ligue 1,-39.4,0,9,9,0.3
Rennes,Ligue 1,-22.76,0,18,18,0.424
Strasbourg,Ligue 1,1.7,0,7,7,0.265
